Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),P_CO2 (Pa),P_H2O (Pa),Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_269,753.8189199650656,M5,6371000.0,5.972e+24,100000.0,21.464964363155282,0.7861221873374877,0.265931422221036,0.666,306.997,Success
run_267,819.1342166658528,M5,6371000.0,5.972e+24,100000.0,60984.37652512087,190.26228312434532,0.16585933989818666,0.666,321.225,Success
run_270,1150.1132385652172,M5,6371000.0,5.972e+24,100000.0,53.63939358720617,0.6180215106617652,0.3046476165586253,0.666,341.239,Success
run_271,1187.855740664663,M5,6371000.0,5.972e+24,100000.0,10041.591647518413,0.7405186128633079,0.18615298527557325,0.666,348.473,Success
run_272,512.3831060027856,M5,6371000.0,5.972e+24,100000.0,0.5159134910862397,211.48472785494394,0.4940675575078,0.666,277.676,Success
run_273,875.0308948210527,M5,6371000.0,5.972e+24,100000.0,0.12366997402121625,32.47945480398281,0.15825081656663556,0.666,318.82,Success
run_274,965.5613839658998,M5,6371000.0,5.972e+24,100000.0,1.3858899619212621,7969.161470295309,0.05843457968893542,0.666,333.521,Success
run_275,1436.0165266080753,M5,6371000.0,5.972e+24,100000.0,0.10540828761593667,8004.261509040732,0.004456248238696083,0.666,368.905,Success
run_276,497.54247093172467,M5,6371000.0,5.972e+24,100000.0,1261.8017493304121,0.12385679504840964,0.17994845128877252,0.666,278.164,Success
run_277,233.38291977668814,M5,6371000.0,5.972e+24,100000.0,40.65162995241291,2.0585186169036196,0.06634869191667411,0.666,229.242,Success
run_278,1022.9002564424508,M5,6371000.0,5.972e+24,100000.0,203.11228752702237,3658.556884634133,0.3246435207428734,0.666,334.722,Success
run_279,1968.3263347258005,M5,6371000.0,5.972e+24,100000.0,6133.380400971968,152.83470035569624,0.415705268043577,0.666,392.147,Success
run_280,889.0040529695282,M5,6371000.0,5.972e+24,100000.0,4.840240992194175,1.7345245776886054,0.18430683426612762,0.666,319.888,Success
run_281,573.4929915356296,M5,6371000.0,5.972e+24,100000.0,9413.824650183427,2.0165368266394257,0.2210970970675731,0.666,290.238,Success
run_283,1025.5001965444062,M5,6371000.0,5.972e+24,100000.0,28228.381030353008,1.0040285998360754,0.15102857470022726,0.666,337.851,Success
run_282,1563.5032250628783,M5,6371000.0,5.972e+24,100000.0,24759.91603899059,22572.273727555268,0.4107059713230181,0.666,379.235,Success
run_284,1000.833859414657,M5,6371000.0,5.972e+24,100000.0,0.32168519740600515,711.1307366695946,0.1004485027392662,0.666,331.617,Success
