Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_512,2671.7319879617467,G2,6371000.0,5.972e+24,51355.84521839924,0.00010356898493392151,4.011234071029539e-06,0.3531670143631195,0.25,329.47,Success
run_513,1365.63576614347,G2,6371000.0,5.972e+24,31030.43917563842,0.06166024086438143,0.0005830338447004563,0.05600077863270184,0.25,280.419,Success
run_515,2033.1704085457063,G2,6371000.0,5.972e+24,20680.754357407375,2.4138378282552257e-05,6.52016624730548e-05,0.4931472881442176,0.25,307.642,Success
run_514,1373.3538731786932,G2,6371000.0,5.972e+24,63203.45930786589,0.0008964786290372859,0.33042468664684455,0.15542804926519277,0.25,286.625,Success
run_516,1596.7781415585594,G2,6371000.0,5.972e+24,305786.72496446647,0.5193171453052349,1.796959084463388e-06,0.1777413369937196,0.25,300.667,Success
run_517,1861.6176509977736,G2,6371000.0,5.972e+24,14727.2891697976,0.011564517121515605,0.0006510530741624899,0.23343753196990613,0.25,301.358,Success
run_518,2083.3968648744435,G2,6371000.0,5.972e+24,103483.48953558369,0.003223688785216133,0.0035095598776298557,0.3481406557955472,0.25,310.204,Success
run_519,2690.16223385454,G2,6371000.0,5.972e+24,32405.950915330584,0.18911737152986444,7.035012390264172e-06,0.11966465517446791,0.25,333.068,Success
run_521,1624.0124819778812,G2,6371000.0,5.972e+24,176695.39328771207,5.346336525617245e-05,2.2552573346675174e-05,0.49759920713657313,0.25,290.493,Success
run_520,694.9267613996027,G2,6371000.0,5.972e+24,623722.6335899639,1.0949188720709578e-05,0.0006576344115722799,0.47443251270790027,0.25,233.595,Success
run_522,1574.3674881656782,G2,6371000.0,5.972e+24,183578.2111399808,3.31880346979042e-05,1.2931569889020964e-06,0.016740477116736596,0.25,288.982,Success
run_523,1019.2200427176768,G2,6371000.0,5.972e+24,67461.4608091295,4.946795982441638e-05,6.802713502640494e-05,0.3096848288219718,0.25,258.985,Success
run_524,1147.977506301841,G2,6371000.0,5.972e+24,118112.19223727605,0.6045405763300835,8.427300196925912e-06,0.38386598420529716,0.25,271.673,Success
run_525,518.7660465083504,G2,6371000.0,5.972e+24,54941.33747706152,0.21216081777748844,0.004247159026381456,0.08694851398476015,0.25,222.231,Success
run_527,1715.1744108614598,G2,6371000.0,5.972e+24,95945.95221596002,3.8629353632465134e-05,0.00022481903104249563,0.4898122479922491,0.25,294.342,Success
run_526,1649.223488160842,G2,6371000.0,5.972e+24,16874.676551373625,2.8379679042229957e-05,0.5654002991094971,0.38230491219308194,0.25,292.356,Success
run_528,1155.2944677488692,G2,6371000.0,5.972e+24,10440.194001025366,2.9852905728438906e-05,0.00281530644490283,0.014475520064295127,0.25,267.365,Success
run_529,770.7886138368935,G2,6371000.0,5.972e+24,13631.667815894361,1.3031709761390962e-06,0.027385074921891378,0.3118769344793298,0.25,241.437,Success
run_530,2686.1514552014632,G2,6371000.0,5.972e+24,16729.10651354214,0.008236949506360376,0.0005365901153089937,0.26938464316826505,0.25,330.222,Success
run_531,2268.129723265818,G2,6371000.0,5.972e+24,11708.57607617863,0.0807135509635623,0.017421133600743186,0.22374974843569828,0.25,317.138,Success
